Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
88716913,Hors jeu,Enzo Cormann,"Cormann, Enzo",,"=""2846813485""","=""9782846813488""",3,3.50,SOLITAIRES INT,Paperback,112,2013,,2024/07/09,2024/07/05,,,read,,,,1,0
60404658,Black Friday (Shi #5),Zidrou,"Zidrou, Zidrou",José Homs,"=""2505089396""","=""9782505089391""",0,4.17,Dargaud,Hardcover,56,2022,2022,,2024/07/09,currently-reading,currently-reading (#6),currently-reading,,,,1,0
50666892,Victoria (Shi #4),Zidrou,"Zidrou, Zidrou",José Homs,"=""2505080968""","=""9782505080961""",3,3.91,Dargaud,Hardcover,56,2020,2020,2024/07/07,2024/07/07,,,read,,,,1,0
23388706,Un océan d'amour,Wilfrid Lupano,"Lupano, Wilfrid",Grégory Panaccione,"=""2756062103""","=""9782756062105""",5,4.37,Delcourt,Hardcover,224,2014,2014,2024/07/02,2024/02/04,,,read,,,,1,0
16154214,Le Singe de Hartlepool,Wilfrid Lupano,"Lupano, Wilfrid",Jérémie Moreau,"=""2756028126""","=""9782756028125""",4,4.08,Delcourt,Hardcover,95,2012,2012,2023/06/30,2024/06/30,,,read,,,,1,0
198564525,Ceux qui appartiennent au jour,Emma Doude van Troostwijk,"Troostwijk, Emma Doude van",,"=""2707349488""","=""9782707349484""",0,3.63,Minuit,Paperback,176,2024,2024,,2024/06/20,to-read,to-read (#64),to-read,,,,0,0
199605917,Penser contre soi-même: Prix Cazes - Brasserie LIPP 2024,Nathan Devers,"Devers, Nathan",,"=""2226483861""","=""9782226483867""",0,3.66,ALBIN MICHEL,Paperback,336,2024,,,2024/06/20,to-read,to-read (#63),to-read,,,,0,0
56561621,"Rythme de guerre (Les Archives de Roshar, #4.1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.51,Le Livre de Poche,Paperback,736,,2020,2024/06/18,2024/06/18,,,read,,,,1,0
131940443,Le Souffle des choses (La Marche Brume #1),Stéphane Fert,"Fert, Stéphane",,"=""2505113637""","=""9782505113638""",3,4.14,Dargaud,Hardcover,122,2023,2023,2024/06/10,2024/06/10,,,read,,,,1,0
58273006,American Gods,Neil Gaiman,"Gaiman, Neil",,"=""0062472100""","=""9780062472106""",0,4.10,William Morrow,Mass Market Paperback,750,2016,2001,,2024/06/07,currently-reading,currently-reading (#5),currently-reading,,,,1,0
